Rater,Estimate,SE,Count,Infit MS,Outfit MS
7238,-0.177,0.141,10,2.46,6.893
724,-1.564,0.21,10,1.569,1.018
7244,-0.314,0.156,10,2.464,1.984
7247,0.586,0.391,20,1.577,3.846
7279,-0.131,0.142,10,1.55,2.91
7350,0.09,0.107,10,0.568,0.38
7379,0.214,0.105,10,2.355,2.186
7382,-1.589,0.211,10,1.743,1.629
7396,2.042,0.44,10,1.281,0.956
7413,-1.592,0.202,10,4.732,6.277
7423,-1.919,0.198,10,4.215,5.338
7505,0.76,0.041,10,2.21,1.797
7517,-2.592,0.223,10,2.105,1.76
7524,0.452,0.083,10,0.603,0.608
753,1.897,0.252,10,2.202,2.185
7545,-0.627,0.162,10,1.16,1.041
7596,-2.464,0.215,10,7.617,5.062
7619,-2.489,0.174,20,5.289,5.507
7628,0.509,0.071,10,0.597,0.428
7633,1.534,0.146,10,0.205,0.23
7642,0.408,0.084,10,5.225,5.024
7717,2.103,0.427,10,2.725,3.354
7741,-1.273,0.196,10,1.652,1.562
7765,-1.063,0.194,10,1.277,0.809
7772,-0.987,0.195,10,5.13,6.027
7776,1.558,0.169,10,2.697,2.401
7785,1.265,0.075,10,0.831,0.551
7845,-0.55,0.171,10,1.154,0.837
785,1.934,0.397,10,0.741,0.536
7858,2.01,0.415,10,3.879,3.298
7861,-0.155,0.143,10,1.287,1.132
7898,1.307,0.086,10,2.095,1.783
7936,-1.688,0.207,10,1.957,1.921
7972,0.709,0.044,10,3.671,10.638
7975,0.408,0.084,10,5.225,5.024
8015,0.767,0.039,10,1.553,1.427
8048,-1.705,0.205,10,1.23,1.292
8089,1.215,0.073,10,2.011,2.749
809,0.156,0.109,10,0.369,0.338
8115,-1.229,0.186,10,0.469,0.325
8134,-1.328,0.197,10,0.511,0.513
815,-0.643,0.172,10,1.397,0.952
817,3.215,0.863,10,5.55,22.945
8178,0.916,0.099,20,2.095,7.689
8195,-2.926,0.219,10,1.378,1.247
8197,1.551,0.146,10,0.828,0.598
8284,-3.019,0.221,10,1.463,1.257
829,-0.099,0.135,10,1.693,1.566
8306,-0.218,0.145,10,2.003,1.962
8353,-1.207,0.199,10,1.034,0.729
8409,-2.4,0.21,10,4.785,5.119
8413,-2.095,0.196,10,0.823,1.185
8423,0.865,0.03,10,0.727,0.509
8444,1.673,0.305,10,19.881,25.227
8462,-0.029,0.128,10,1.827,1.593
8475,0.121,0.115,10,1.036,0.936
8489,1.036,0.032,10,2.418,14.766
851,1.462,0.16,10,1.928,1.533
8512,-0.141,0.141,10,1.84,2.513
8520,-1.183,0.19,10,2.014,2.279
853,1.126,0.01,10,3.036,2.829
857,-0.323,0.148,10,0.335,0.444
858,2.917,0.761,10,0.48,1.148
8588,-0.385,0.155,10,1.831,1.863
8597,0.588,0.06,10,5.65,6.142
8599,-0.087,0.136,10,2.595,2.047
8607,0.617,0.059,10,1.45,1.311
8615,-0.329,0.154,10,0.744,0.802
8665,-1.85,0.212,10,2.837,2.264
8687,0.957,0.029,10,0.323,0.257
872,-1.055,0.187,10,0.549,0.617
8730,1.437,0.111,10,1.133,1.173
8732,-1.317,0.196,10,0.702,0.625
8744,0.554,0.068,10,4.031,3.692
8767,-0.557,0.168,10,1.884,1.488
8770,1.243,0.064,10,1.284,1.175
8790,-1.96,0.211,10,1.494,4.573
8792,-2.898,0.215,10,1.301,0.925
8798,-1.082,0.195,10,4.987,8.113
8815,-2.751,0.225,10,8.397,2.873
8823,-0.572,0.171,10,0.329,0.39
8824,-0.131,0.138,10,1.523,1.767
8900,0.209,0.107,10,1.945,1.576
8919,-0.405,0.157,10,0.404,0.568
8923,-1.175,0.183,10,1.62,1.483
8940,0.205,0.108,10,0.351,0.311
8979,1.726,0.175,10,1.579,1.228
8992,-0.608,0.167,10,2.213,1.944
8995,-0.023,0.116,10,1.951,1.727
9016,3.702,0.968,10,3.037,3.474
9026,-0.765,0.176,10,1.771,1.186
9061,-0.118,0.136,10,1.842,2.115
9072,1.167,0.064,10,0.797,0.73
9077,0.542,0.069,10,1.008,0.981
9092,0.494,0.074,10,1.439,1.355
9149,0.731,0.045,10,0.691,0.682
9154,2.072,0.294,10,3.132,3.051
9156,-0.658,0.172,10,1.802,1.48
9169,1.729,0.188,10,0.547,0.478
9176,1.69,0.182,10,2.089,3.211
9218,-0.753,0.134,20,4.904,13.787
922,-2.858,0.218,10,5.337,6.837
9222,-3.15,0.222,10,0.788,0.745
9229,1.502,0.142,10,2.216,2.303
9231,2.587,0.601,10,2.589,1.621
928,-1.461,0.205,10,1.379,1.39
9287,-3.764,0.209,10,2.358,3.033
9291,-1.594,0.209,10,1.286,3.02
9296,-2.422,0.212,10,3.365,1.974
9299,0.756,0.039,10,5.066,5.122
9301,1.518,0.14,10,1.222,1.089
9308,-0.227,0.143,10,3.25,2.074
9309,3.088,0.827,10,4.094,6.585
9311,2.593,0.516,10,3.261,2.173
9326,1.896,0.222,10,2.869,2.987
9351,-3.074,0.212,10,1.385,1.103
9407,-0.748,0.181,10,1.901,1.476
9417,-0.031,0.129,10,1.553,1.253
9445,-1.521,0.205,10,1.398,1.076
9455,1.567,0.147,10,2.434,1.797
9473,1.491,0.123,10,3.276,2.753
9483,1.345,0.097,10,5.729,7.501
9487,-0.782,0.169,10,1.203,1.133
9496,-0.762,0.178,10,2.289,2.005
9508,-0.969,0.183,10,1.724,1.561
9528,-0.511,0.167,10,0.547,0.447
9536,0.561,0.067,10,1.877,1.544
9539,0.33,0.095,10,1.105,0.833
9589,1.299,0.09,10,0.668,0.675
9595,0.023,0.124,10,1.051,1.061
9614,-0.83,0.177,10,1.31,1.196
9639,-1.124,0.186,10,1.277,1.047
9670,0.735,0.044,10,2.595,18.915
9690,-0.055,0.132,10,1.319,1.118
9694,-2.646,0.221,10,1.605,1.073
9696,1.636,0.156,10,1.377,1.042
9723,-0.105,0.136,10,9.064,8.013
9729,-0.039,0.129,10,2.477,2.697
9747,-2.185,0.212,10,1.402,0.863
9758,-2.767,0.218,10,2.053,0.924
9775,0.242,0.103,10,0.767,0.571
9820,-2.236,0.209,10,3.147,5.793
9843,-0.129,0.142,10,1.033,0.699
9848,0.046,0.124,10,0.343,0.298
9869,2.912,0.696,10,2.939,4.089
9882,0.676,0.05,10,0.454,0.318
989,-0.385,0.155,10,2.243,2.312
9896,1.04,0.353,20,1.772,1.754
9902,0.102,0.116,10,0.424,0.434
9914,1.684,0.314,10,2.085,1.213
9916,-2.091,0.211,10,1.622,1.405
9928,0.029,0.122,10,1.22,1.08
9971,-0.33,0.155,10,1.663,1.352
9982,1.786,0.204,10,2.439,2.503
claude_modu,-0.846,0.031,2261,1.59,1.305
claude_mono,-0.508,0.028,2236,1.266,1.251
deepseek_modu,-1.102,0.033,2346,2.168,1.726
deepseek_mono,-0.351,0.031,2388,1.655,1.937
gemini_modu,-0.655,0.029,2484,1.806,1.517
gemini_mono,-0.414,0.027,2468,1.698,1.503
gpt-5-mini_modu,-1.667,0.037,2354,2.524,1.984
gpt-5-mini_mono,-0.87,0.032,2380,1.943,1.613
gpt-5_mono,0.334,0.029,2348,1.611,1.793
